Date - Time,hour,H16,H17,H18,H19,L17,L18,L20,M16,M18,M19,VH16,VH17,VH18,VH19,VL17,VL18,VL19,VL20
7/11/17 0:00,0:00,25.5,25.1,25.1,25.1,25.7,25.6,25.1,26.1,27.1,26.1,25.1,25.1,25.6,25.6,25.6,26.6,27.1,25.1
7/11/17 1:00,1:00,25.5,25.6,24.1,24.1,25.7,25.6,25.1,25.1,26.1,25.1,24.1,25.1,25.6,25.6,25.6,25.6,26.1,25.1
7/11/17 2:00,2:00,25.5,25.6,23.1,23.6,25.7,25.6,25.1,24.1,26.1,25.1,22.6,25.6,25.6,25.6,25.6,25.1,26.1,25.1
7/11/17 3:00,3:00,25.5,25.6,22.6,23.1,25.7,25.6,25.1,23.1,26.1,24.6,21.6,25.6,25.6,25.6,25.6,24.6,26.1,25.1
7/11/17 4:00,4:00,26,25.6,23.6,23.6,25.7,25.6,25.1,24.1,26.6,25.1,22.6,25.6,25.6,25.6,25.6,25.1,26.6,25.6
7/11/17 5:00,5:00,25,24.6,24.1,24.6,24.7,24.6,24.6,25.1,26.6,26.1,23.6,25.1,25.6,25.6,25.1,25.6,26.6,24.6
7/11/17 6:00,6:00,28,27.1,25.6,26.6,28.2,27.6,27.1,27.6,27.1,26.6,26.1,27.1,27.6,27.6,27.6,27.1,27.1,27.1
7/11/17 7:00,7:00,30.5,29.6,27.1,30.1,30.2,28.6,28.6,31.6,29.1,29.6,28.6,31.1,32.1,32.1,30.6,29.6,29.1,29.6
7/11/17 8:00,8:00,33,29.1,28.6,29.6,32.2,30.1,31.1,30.6,30.6,30.6,29.6,34.1,33.6,33.6,29.6,30.6,30.6,30.6
7/11/17 9:00,9:00,34.5,30.1,29.1,29.6,33.7,31.6,31.1,32.1,31.6,31.1,30.6,34.6,37.1,37.1,33.1,31.6,31.6,32.6
7/11/17 10:00,10:00,35.5,32.1,30.6,31.6,33.2,33.6,34.6,34,33.1,32.1,31.6,35.1,35.6,35.6,34.6,33.6,33.1,33.1
7/11/17 11:00,11:00,33.5,32.1,32.6,32.1,33.2,34.6,33.1,35,33.1,33.1,32.6,33.6,35.1,35.1,35.1,34.6,33.1,33.1
7/11/17 12:00,12:00,35,33.1,34.6,32.1,33.7,34.6,34.1,34,34.1,34.6,33.1,34.1,34.1,34.1,37.1,35.1,34.1,34.1
7/11/17 13:00,13:00,28.5,33.1,34.6,34.1,28.2,36.1,27.6,34.5,36.6,34.6,32.6,35.1,27.6,27.6,39.1,36.1,36.6,35.1
7/11/17 14:00,14:00,27.5,32.1,32.6,32.6,27.7,35.6,27.1,33.6,34.1,35.6,32.1,34.6,27.6,27.6,38.1,34.1,34.1,33.6
7/11/17 15:00,15:00,27.5,31.1,31.1,30.6,27.2,33.1,26.6,32.6,32.6,32.6,31.1,32.6,27.1,27.1,34.1,32.6,32.6,32.1
