Date - Time,Time,H17_106,L16_21,L18_122,M18_168,VH15_138,VH17_60,VH18_57,VL15_46,VL17_169,VL18_177
7/9/18 0:01,00:00,47.8,42.8,46.2,51.9,44,46.2,46.8,43.1,41.6,41.2
7/9/18 1:01,01:00,49.6,43.3,49.3,53.7,45.4,48.1,53.6,43.1,42.8,45
7/9/18 2:01,02:00,51.4,47.1,51.2,57.3,50.2,52.5,51.7,45.5,44.6,50
7/9/18 3:01,03:00,55,51.4,54.3,61.5,53.6,57.4,58.4,49.3,48.9,55.5
7/9/18 4:01,04:00,58.6,55,59.8,65,72.4,65.3,61.9,51.1,51.9,56
7/9/18 5:01,05:00,62.8,56.8,62.8,69.7,76.4,70.6,70.2,52.3,54.9,56
7/9/18 6:01,06:00,55.8,35,62.8,64.4,73.1,68.9,63.8,50,48.4,54.2
7/9/18 7:01,07:00,51,29.2,54.4,56.8,68.6,54.5,55.5,45.7,44.2,42.6
7/9/18 8:01,08:00,45.5,31.6,44.5,46.5,56.6,41.3,42,38.7,41.8,31.9
7/9/18 9:01,09:00,38.6,30.4,38.9,28,41.1,34.9,35.7,35.6,37.5,24.2
7/9/18 10:01,10:00,30.3,26,28.5,29,32,28.4,30,28.4,29.1,20.1
7/9/18 11:01,11:00,22.4,19.9,20.6,21.7,25,20.8,23.4,22.5,22.5,14
7/9/18 12:01,12:00,20.4,15.8,16.5,22.5,20.6,19.5,20,16.9,18.5,14
7/9/18 13:01,13:00,14.9,12.4,13.1,17.2,14.8,17.5,16.5,12.7,14.4,11.1
7/9/18 14:01,14:00,11.5,11.8,11.8,12.6,12.6,14.1,15.2,9.3,11.7,8.3
7/9/18 15:01,15:00,10.9,9.7,9.7,11.3,10.4,12.6,9.9,7.8,10.3,7.6
7/9/18 16:01,16:00,12.4,9,9.1,12.8,14.6,10.3,11.1,7.2,11.9,6.9
7/9/18 17:01,17:00,13.6,13.2,13.8,17.1,16.8,15.2,16,12.9,13.3,10.5
7/9/18 18:01,18:00,17.6,15.9,15.6,14.9,16.8,17.2,17.2,14.9,12.2,12.9
7/9/18 19:01,19:00,20.2,17.1,18.3,20.3,18.8,19.9,21.1,15.4,16.6,14.9
7/9/18 20:01,20:00,22,18.9,21.5,23.4,18.8,20.4,21.1,18,20.3,15.5
7/9/18 21:01,21:00,23.2,20.8,23.4,24,20.6,23.1,27.5,20,22.2,19.5
7/9/18 22:01,22:00,27.9,25.4,28,28.5,25.6,27.1,31.4,24.7,26.8,23.5
7/9/18 23:01,23:00,31.2,30.6,30.7,32.4,29.9,30.4,32.7,29.3,30,27.5
7/10/18 0:01,00:00,34.4,33.1,33.3,35.6,38.4,33.1,34.6,33.9,32.6,30.7
7/10/18 1:01,01:00,34.4,36.9,34.5,35.6,36.9,34.3,37.8,35.9,35.1,32
7/10/18 2:01,02:00,38.2,36.3,37.8,38.7,37.6,41.5,46.7,36.5,36.4,35.2
7/10/18 3:01,03:00,42.6,40,42.2,43,39.7,38.8,49.7,39,38.9,41
7/10/18 4:01,04:00,48.8,43.8,46,48.6,50.7,40.7,50.3,42.2,42.6,42.2
7/10/18 5:01,05:00,50,46.3,49.1,54.1,50,49.7,60,45.4,46.3,42.2
7/10/18 6:01,06:00,44.6,30.3,49.1,51.1,54.9,49.2,49.8,41,37.7,38.4
7/10/18 7:01,07:00,41.5,24.9,37.1,42.5,51.6,41.5,37.1,30.5,32.7,25.5
7/10/18 8:01,08:00,32.5,23,30.6,34.4,42,31.9,35.3,32,27.7,19.7
7/10/18 9:01,09:00,30.1,21.8,28.8,20.1,31.1,28.2,28.9,26.8,24.4,16.5
7/10/18 10:01,10:00,25,20.6,23.7,23.1,27.8,26.9,26.5,24.3,22.6,17.3
7/10/18 11:01,11:00,21.8,18.7,20,23.1,23,18.8,22.6,20.4,20.6,14
7/10/18 12:01,12:00,19.1,18.1,16.7,19.9,19.4,21,20.1,18.4,18,13.3
7/10/18 13:01,13:00,17.2,16,12.6,17.4,15.8,14.9,18.1,16.5,16.7,10.5
7/10/18 14:01,14:00,14.5,13.4,12.6,14.2,14.3,15.6,18.1,13.1,14,9.8
7/10/18 15:01,15:00,13.3,11.4,10.7,12.1,12,13.5,13.7,10.3,11.2,8.5
7/10/18 16:01,16:00,12.4,9.9,8.4,12.1,11,13.5,13.9,8.8,11.2,7.6
7/10/18 17:01,17:00,12.9,9.9,11,13.1,10.1,13.5,13.9,8.8,10.5,7.6
7/10/18 18:01,18:00,13.5,11.8,12.8,12,12.3,14.4,15.1,10.6,10.5,10.2
7/10/18 19:01,19:00,16.7,12.9,15.5,17.6,13.6,15.7,18.4,12.6,15.1,12.9
7/10/18 20:01,20:00,15.9,12.9,16,18.1,14.9,17.6,16.1,13,15.5,13.4
7/10/18 21:01,21:00,17.1,13.9,16,18.1,16.2,17.6,19.4,13,16.7,14.6
7/10/18 22:01,22:00,26.6,22.7,25.4,27.9,24.9,23,28.1,22,26.9,21.4
7/10/18 23:01,23:00,30.6,30,30.1,31.8,31.3,29.9,32.7,29.5,30,26.8
7/11/18 0:01,00:00,32.5,32.5,32,33.7,33.5,32.4,34,32,31.3,30.1
7/11/18 1:01,01:00,35,33.1,35.9,35.6,34.1,34.3,35.2,33.9,31.9,32.6
7/11/18 2:01,02:00,38.2,37.5,39,38,35.4,32.9,40.3,34.5,34.4,37.1
7/11/18 3:01,03:00,46.3,40.6,45.4,48,42.4,40,52.2,38.4,42,37.6
7/11/18 4:01,04:00,53.1,47.5,52.9,53.5,61,41.3,64.3,43.5,45,40.8
7/11/18 5:01,05:00,48.8,45.6,50.4,56.5,69.7,49,60,45.3,43.8,38.9
7/11/18 6:01,06:00,42.7,29,45.4,53,65,57.4,54.7,41.5,38.9,38.4
7/11/18 7:01,07:00,41.4,25.7,43,45.7,55,39.6,41.7,33.9,33.3,29.4
7/11/18 8:01,08:00,37.1,25.1,34,37,45.5,34.6,37.3,31.4,30.1,23
7/11/18 9:01,09:00,32.1,21.3,28.9,22.5,35.4,26.1,29.7,26.9,28.3,18.5
7/11/18 10:01,10:00,24.4,19.3,23.8,23.9,27.7,20.9,26,22.9,23.9,16
7/11/18 11:01,11:00,20.4,17.2,17.8,20.5,19.9,18.8,20.6,15.4,20.5,13.3
7/11/18 12:01,12:00,19,15.3,15.8,19.2,19.4,15.2,19.3,16.2,18.5,11.8
7/11/18 13:01,13:00,14.9,12.5,13.1,15.9,15.7,14.2,16.6,13.5,15.9,11.1
7/11/18 14:01,14:00,17.2,12.5,13.1,14.1,12.7,13.4,14.6,11.5,15.1,9.8
7/11/18 15:01,15:00,12.4,13.2,11.8,14.1,14.2,13.4,12.9,11.5,13.9,10.4
7/11/18 16:01,16:00,15.2,13.9,13.2,15.4,14.6,17.4,16.6,12.2,13.9,12.5
7/11/18 17:01,17:00,16.4,13.9,15.2,18.5,16,18,17.3,12.9,15.4,12.5
7/11/18 18:01,18:00,18.3,15.2,17.7,15.6,19.6,18.5,18.6,14.1,14.8,15.8
7/11/18 19:01,19:00,32.8,27.6,30.4,32.7,28,30.1,32.3,27,25.2,27.7
