Date - Time,hour,H16,H17,H18,H19,L16,L18,L19,L20,M16,M17,M18,M19,M20,VH16,VH18,VH19,VH20,VL16,VL17,VL18,VL19,VL20
6/23/17 0:00,0:00,22.1,19.1,19.6,19.1,19.6,19.6,19.1,23.1,19.5,21.6,19.2,19.6,19.6,19.1,18.6,22.1,18.6,19.6,20.1,19.1,23.6,23.1
6/23/17 1:00,1:00,21.1,19.1,19.6,19.1,19.6,19.6,19.1,21.6,19,20.1,19.2,19.6,19.1,18.6,18.6,21.1,18.6,19.6,19.6,19.1,22.1,22.1
6/23/17 2:00,2:00,19.6,19.1,19.6,19.1,19.6,19.6,19.1,20.6,19,18.6,19.7,19.6,19.6,18.6,18.6,19.6,18.6,19.6,20.1,19.6,21.1,20.6
6/23/17 3:00,3:00,18.6,19.1,19.6,19.1,19.6,19.6,19.1,19.6,19.5,17.6,19.2,19.6,19.6,18.6,18.6,18.6,18.6,19.6,19.6,19.1,20.1,19.6
6/23/17 4:00,4:00,18.1,19.1,19.6,19.1,19.1,19.6,19.1,19.6,19.5,17.6,18.7,18.6,19.6,18.6,18.6,18.6,18.6,19.6,19.1,18.6,19.6,19.6
6/23/17 5:00,5:00,17.6,19.1,19.6,19.1,19.1,19.1,19.1,19.1,19,17.6,19.2,19.6,19.1,18.6,18.6,18.6,18.6,19.1,19.1,19.1,19.1,19.1
6/23/17 6:00,6:00,17.6,19.1,19.6,19.1,19.6,19.1,19.1,19.1,19,17.6,18.7,19.1,19.6,18.6,18.6,18.6,18.6,19.1,19.6,19.1,19.1,19.1
6/23/17 7:00,7:00,23.6,19.6,19.6,19.1,19.6,19.6,19.1,24.1,19,23.6,19.2,19.6,19.6,19.1,18.6,24.6,18.6,20.1,19.6,19.1,24.1,23.6
6/23/17 8:00,8:00,24.1,20.6,20.1,19.6,20.1,20.6,20.1,20.6,19.5,23.6,20.7,21.1,20.6,19.6,19.6,24.1,19.6,20.6,21.1,20.6,21.6,24.6
6/23/17 9:00,9:00,27.6,22.6,21.1,23.1,21.6,23.2,22.6,22.1,22,23.1,24.7,23.1,27.6,21.6,22.1,23.1,21.6,21.6,22.6,22.6,23.1,24.1
6/23/17 10:00,10:00,24.1,27.6,24.6,24.6,24.1,25.2,29.1,23.1,22.5,23.1,27.2,25.6,34.1,22.6,23.1,23.6,23.6,23.1,24.1,25.1,25.1,32.6
6/23/17 11:00,11:00,27.1,24.1,24.6,24.6,24.6,27.2,25.1,24.6,23.5,24.1,27.7,27.6,29.6,23.6,23.6,24.6,24.6,24.1,26.1,27.1,26.6,26.1
6/23/17 12:00,12:00,26.1,24.1,22.6,25.1,23.6,28.2,24.1,25.6,23,24.1,27.7,26.1,30.1,23.6,22.6,25.1,23.1,23.6,26.6,26.1,27.1,25.1
6/23/17 13:00,13:00,24.6,24.6,22.6,24.1,23.1,27.2,23.6,25.1,22.5,23.6,26.2,25.6,29.6,23.1,23.1,22.6,23.6,24.1,25.1,26.1,27.1,24.1
6/23/17 14:00,14:00,25.1,23.6,23.1,24.1,23.6,27.2,23.6,24.6,22.5,23.6,26.7,26.6,26.6,23.1,24.1,22.6,23.1,24.1,25.6,25.1,26.1,24.6
6/23/17 15:00,15:00,27.6,23.1,22.6,24.1,23.6,26.7,24.1,24.6,23,24.1,27.2,25.1,25.1,22.6,22.6,23.1,23.6,26.1,25.6,24.6,26.1,26.1
6/23/17 16:00,16:00,31.1,24.6,23.1,24.1,23.6,26.2,25.6,25.1,23,24.6,27.2,26.6,25.1,23.6,24.1,24.6,24.6,28.1,26.1,26.1,26.6,26.6
6/23/17 17:00,17:00,31.1,24.1,27.1,23.6,23.1,25.7,25.1,25.1,23.5,24.1,27.7,27.1,25.1,22.6,23.6,24.1,23.1,31.1,26.1,25.6,27.1,27.6
6/23/17 18:00,18:00,30.6,21.6,20.6,21.1,20.6,24.2,21.6,23.1,22,22.1,24.2,24.1,23.1,20.1,20.6,21.6,20.1,25.6,23.6,22.1,25.6,23.1
6/23/17 19:00,19:00,21.1,20.1,20.1,20.1,20.1,22.2,20.1,21.6,20.5,20.6,21.2,22.1,21.6,19.6,19.1,19.6,19.1,20.6,21.6,21.6,22.6,21.1
6/23/17 20:00,20:00,19.6,19.6,19.6,19.6,19.6,20.6,19.6,21.1,20,20.1,20.2,20.6,20.6,19.1,19.1,19.1,18.6,20.1,21.1,20.6,22.1,20.6
6/23/17 21:00,21:00,19.1,18.6,19.1,18.6,19.1,20.1,18.6,20.1,19,19.1,19.2,19.1,19.6,18.1,18.1,18.6,17.6,19.1,20.1,19.1,20.6,19.6
6/23/17 22:00,22:00,18.1,18.6,19.1,18.6,18.6,19.6,18.6,20.1,19,18.6,19.2,19.1,19.1,17.6,18.6,18.6,17.6,19.1,19.6,18.6,21.1,18.6
6/23/17 23:00,23:00,18.1,18.6,19.1,18.6,18.6,19.6,18.6,20.1,19,18.6,18.7,18.6,19.1,17.6,18.1,18.1,17.6,18.6,19.6,18.6,20.6,19.1
