Location:,MIA_H17_197,MIA_L16_154,MIA_L17_55,MIA_L18_106,MIA_M16_182,MIA_M17_167,MIA_M18_186,MIA_VH15_195,MIA_VL15_89,MIA_VL16_57,MIA_VL18_81
7/1/18 0:00,89.7,80.9,87.1,84.5,93,90,91.3,97.7,86.5,86.3,85.8
7/1/18 1:00,89.7,80.4,87.7,86.6,94,92.1,91.8,98.7,89.7,88.3,87.4
7/1/18 2:00,89.7,82.6,88.7,87.6,93,92.1,93.8,98.2,90.2,88.8,88.4
7/1/18 3:00,89.7,84.1,90.3,89.2,94.5,92.6,93.2,98.7,90.7,90.4,88.4
7/1/18 4:00,88.8,83.7,90.9,88.2,94.5,92.1,93.2,98.2,88.1,88.9,88
7/1/18 5:00,86.8,80.9,81.3,78.8,90,88.5,67.4,93.3,75.9,63.3,71.4
7/1/18 6:00,88.8,79.8,55.8,79.3,82.6,82.7,72.7,91.3,82.4,59.2,65.3
7/1/18 7:00,71.7,71.5,52,67.2,74.5,72.9,54.1,71.2,65.7,51.5,60
7/1/18 8:00,66,67,52.4,60.7,71.1,72.2,60.9,60.3,62.8,44.8,53.5
7/1/18 9:00,62.1,61.7,54.7,65.9,63.7,65.5,58.7,60.9,73.7,57.2,53.9
7/1/18 10:00,61.6,53.6,78.9,70.9,57.8,63.1,59.8,62.8,87,78.3,91.1
7/1/18 11:00,59.3,51.4,56.5,57,58.7,63.8,56.7,55.4,73.4,60,91.1
7/1/18 12:00,50.8,50.9,53.6,53,52.3,60,57.3,53.3,58.6,49.5,70.6
7/1/18 13:00,56.9,55.4,51.2,60.2,61.9,58.4,58,62.6,60,45.8,58.1
7/1/18 14:00,59.8,50.6,52.6,56.7,57.8,60.2,56.3,59.2,58.2,46.7,54.7
7/1/18 15:00,66.5,50.6,56.6,54.2,58.9,59.5,63.1,66,60.5,55.4,55.2
7/1/18 16:00,65.9,55.1,59.4,58.2,60,61.8,63.6,66,60.9,56.4,59.1
7/1/18 17:00,70.9,62.3,64.1,64.6,69.2,68.1,66.3,70.3,66.8,62.8,64.4
7/1/18 18:00,72,66.9,68.2,69.2,72.1,72.1,71.4,78.7,70.1,68.6,68.4
7/1/18 19:00,75.2,68.7,71.1,72,76,74.9,72.5,81.3,72.9,71.3,71.8
7/1/18 20:00,79,70.4,70.5,74.3,76,74.9,73.6,84.5,75.2,71.9,75.2
7/1/18 21:00,78.5,70.4,72.2,74.9,78.8,76.6,76.3,87.1,76.3,73,77.4
7/1/18 22:00,79.4,72.6,74.5,75.9,80.9,78.8,77.9,89.7,78,74.7,77.4
7/1/18 23:00,83.6,71.5,76.2,76.4,84.2,78.2,78.9,90.2,80.7,75.7,78.4
7/2/18 0:00,85.7,73.7,78.4,77.6,84.7,80.4,81.6,90.2,80.7,79,80.6
7/2/18 1:00,87.7,75.9,81.8,80.8,84.7,83.2,83.2,92.2,83.3,82.2,81.7
7/2/18 2:00,90.2,76.5,85,82.9,88.4,84.2,84.7,93.2,86.6,83.8,83.8
7/2/18 3:00,89.7,78.2,85,85.6,88.4,84.2,85.2,93.2,88.1,84.8,84.3
