Date - Time,hour,H16,H17,H18,H19,H20,L16 ,L17,L18,L19,L20,M16,M17,M18,M19,M20,VH16,VH17,VH18,VH19,VH20,VL16,VL17,VL18,VL19,VL20
6/19/17 23:59,0:00,27.1,27.1,27,27.6,27.1,27.6,27.6,27.7,27.1,27.6,26.6,27.1,27.1,27.1,27.1,27.1,27.2,27.1,27.1,27.1,27.1,26.6,27.1,27,27.1
6/20/17 0:59,1:00,26.6,27.1,26.5,27.6,27.1,27.6,27.1,27.2,27.1,27.1,26.6,27.1,27.1,27.1,27.1,27.1,27.2,27.1,27.1,27.1,27.1,26.6,27.1,27,27.1
6/20/17 1:59,2:00,26.6,26.6,26.5,27.6,27.1,27.6,27.1,27.2,27.1,27.1,26.6,27.1,27.1,26.6,27.1,26.6,27.2,27.1,27.1,27.1,27.1,26.6,26.6,26.5,27.1
6/20/17 2:59,3:00,26.6,26.6,26.5,27.6,26.6,27.6,27.1,27.2,27.1,27.1,26.6,27.1,26.6,26.6,26.6,26.6,27.2,26.6,27.1,27.1,27.1,26.6,26.6,26.5,27.1
6/20/17 3:59,4:00,26.6,26.6,26.5,27.1,26.6,27.1,27.1,27.2,26.6,27.1,26.6,27.1,26.6,26.6,26.6,26.6,26.7,26.6,27.1,27.1,26.6,26.1,26.6,26.5,27.1
6/20/17 4:59,5:00,26.6,26.6,26.5,27.1,26.6,27.1,27.1,26.7,26.6,26.6,26.1,26.6,26.6,26.6,26.6,26.6,26.7,26.6,27.1,27.1,26.6,26.1,26.6,26.5,26.6
6/20/17 5:59,6:00,26.1,26.6,26,27.1,26.6,27.1,26.6,26.7,26.6,26.6,26.1,26.6,26.6,26.6,26.6,26.6,26.7,26.6,26.6,26.6,26.6,26.1,26.6,26.5,26.6
6/20/17 6:59,7:00,26.1,26.1,26,27.1,26.6,27.1,27.1,26.7,26.6,26.6,26.1,26.6,26.6,26.6,26.6,26.6,27.2,26.6,27.1,27.1,26.6,26.1,26.6,26.5,26.6
6/20/17 7:59,8:00,27.1,27.1,26.5,27.6,27.1,27.6,28.6,27.7,28.1,27.6,27.6,27.6,27.6,28.1,27.6,28.1,28.7,28.1,28.6,28.6,27.6,27.1,27.1,27.5,27.1
6/20/17 8:59,9:00,27.6,27.6,27.5,28.1,28.1,28.1,29.1,28.2,28.6,28.1,28.1,28.1,28.1,29.1,28.6,28.6,30.2,29.1,29.6,29.6,28.1,27.6,28.1,28.5,28.1
6/20/17 9:59,10:00,28.1,28.1,28,28.1,28.1,28.6,29.6,28.7,28.6,28.6,28.6,28.6,28.6,29.1,29.1,29.1,29.7,29.1,29.6,29.6,28.6,28.1,28.6,28.5,28.6
6/20/17 10:59,11:00,28.1,28.1,28,28.6,28.6,28.6,29.6,29.2,29.1,28.6,28.6,28.6,29.1,29.1,29.1,29.1,29.7,29.6,29.6,29.6,28.6,28.6,28.6,29,28.6
6/20/17 11:59,12:00,27.1,27.6,27.5,28.1,27.6,28.1,28.1,28.2,28.1,28.1,27.6,28.1,28.1,28.1,28.1,28.1,28.2,28.1,28.6,28.6,27.6,27.6,27.6,27.5,28.1
6/20/17 12:59,13:00,27.1,27.1,27,27.6,27.1,27.6,27.6,27.7,27.6,27.6,27.1,27.6,27.6,27.6,27.6,27.6,27.7,27.6,28.1,28.1,27.1,27.1,27.1,27,27.6
6/20/17 13:59,14:00,27.1,27.1,27,27.6,27.1,27.6,27.6,27.7,27.6,27.6,27.1,27.6,27.1,27.6,27.6,27.6,28.2,27.6,28.1,28.1,27.1,27.1,27.1,27,27.6
6/20/17 14:59,15:00,27.1,27.1,27,27.6,27.1,27.6,27.6,27.7,27.6,27.6,27.1,27.6,27.1,27.6,27.6,27.6,27.7,27.6,27.6,28.1,27.1,27.1,27.1,27,27.6
6/20/17 15:59,16:00,26.6,27.1,26.5,27.6,27.1,27.6,27.6,27.2,27.1,27.6,26.6,27.1,27.1,27.1,27.1,27.1,27.2,27.1,27.1,27.6,27.1,26.6,27.1,27,27.1
6/20/17 16:59,17:00,27.1,27.1,26.5,27.6,27.1,27.6,27.6,27.2,27.1,27.6,27.1,27.1,27.1,27.1,27.1,27.1,27.7,27.1,27.6,27.6,27.1,26.6,27.1,27,27.1
6/20/17 17:59,18:00,27.1,27.1,26.5,27.6,27.1,27.6,27.6,27.2,27.1,27.1,26.6,27.1,27.1,27.1,27.1,27.1,27.7,27.1,27.1,27.6,27.1,26.6,27.1,27,27.1
6/20/17 18:59,19:00,26.1,26.6,26.5,27.6,26.6,27.1,27.6,27.7,27.6,27.6,27.1,27.6,27.1,27.6,27.6,26.6,27.2,27.1,27.6,27.6,27.1,27.1,27.1,27,27.6
